rank,review_id,triage_score,severity_weight,category,star_rating,date,app_version,text
17,R00510,4.127659260371031,5.0,crash,1,2026-08-19,3.4.1,The app is great when it works -- sadly the smart lock screen crashes on launch. Hope this gets fixed soon.
18,R00821,4.127659260371031,5.0,crash,1,2026-08-19,3.4.1,The app is great when it works -- sadly the smart lock screen crashes on launch. Anyone else seeing this?
19,R00424,4.08853251524674,4.0,connectivity,1,2026-09-09,3.4.0,App disconnects from the thermostat whenever my phone switches between Wi-Fi and data. Support was no help.
20,R00617,4.0653957108777625,5.0,crash,2,2026-09-15,3.4.1,smart plug screen just force-closes the app. Completely unusable since 3.3.2. Otherwise I like the app.
21,R00732,4.03420577652151,5.0,crash,2,2026-09-14,3.3.2,Crashes constantly since the 3.4.1 update. My video doorbell is basically bricked in the app. Reinstalling didn't help.
22,R00750,4.03338339257148,5.0,crash,1,2026-08-16,3.3.2,"I love this app overall, but it crashes every time I open the living room bulb controls. This started after the update."
23,R00975,4.00243905844152,5.0,crash,1,2026-08-15,3.2.1,App keeps crashing every time I open the smoke detector controls on version 3.4.1. Otherwise I like the app.
24,R01007,3.942064389243011,5.0,crash,2,2026-09-11,3.2.0,The app won't stay open for more than a few seconds if the security camera is online.
25,R00034,3.8810176436652535,5.0,crash,1,2026-08-11,3.4.0,The latest update crashes on launch whenever my garage sensor is connected. Considering switching apps.
26,R00718,3.8739500066677524,4.0,connectivity,1,2026-09-02,3.2.0,"Since 3.4.0, the app loses connection to the smoke detector and never reconnects on its own."
27,R00932,3.844228854041927,4.0,connectivity,1,2026-09-01,3.3.0,"Since 3.3.2, the app loses connection to the video doorbell and never reconnects on its own. Considering switching apps."
28,R00520,3.7923750781766907,5.0,crash,1,2026-08-08,3.3.0,garage sensor screen just force-closes the app. Completely unusable since 3.2.1. Otherwise I like the app.
29,R00789,3.764047084142933,5.0,crash,2,2026-09-05,3.3.0,App crashes when I try to view the garage sensor live feed. Was fine before 3.3.2. Support was no help.
30,R00166,3.734407688141454,5.0,crash,1,2026-08-06,3.2.1,Every time I adjust the kitchen plug settings the app force quits. So frustrating. Anyone else seeing this?
31,R01049,3.677326343984652,5.0,crash,1,2026-08-04,3.4.0,Every time I adjust the garage sensor settings the app force quits. So frustrating. This started after the update.
32,R00397,3.670629644792096,4.0,connectivity,1,2026-08-26,3.4.1,Connection keeps dropping -- the thermostat goes 'unreachable' every few hours. Hope this gets fixed soon.
33,R00672,3.6424683769084187,4.0,connectivity,1,2026-08-25,3.2.1,App disconnects from the bedroom speaker whenever my phone switches between Wi-Fi and data. Honestly pretty annoyed.
34,R00584,3.6424683769084187,4.0,connectivity,1,2026-08-25,3.3.2,"Setup was a breeze and I love the widgets, but the smart plug drops offline every night. This started after the update."
35,R00264,3.5933360942104637,5.0,crash,1,2026-08-01,3.2.0,Crash after crash. The app dies the moment I tap my smoke detector. Reinstalling didn't help.
36,R00797,3.5657678266003767,5.0,crash,1,2026-07-31,3.4.1,garage sensor screen just force-closes the app. Completely unusable since 3.3.2. Considering switching apps.
37,R00022,3.4779803472002064,4.0,connectivity,1,2026-08-19,3.4.0,"Sync fails repeatedly with the garage sensor. Spinning loader, then 'connection timeout'."
38,R00143,3.379310977697944,5.0,crash,2,2026-08-22,3.4.1,Background crash loop drained my patience -- garage sensor alerts kill the app. Anyone else seeing this?
39,R01096,3.378622095854982,5.0,crash,1,2026-07-24,3.4.1,Background crash loop drained my patience -- video doorbell alerts kill the app. Anyone else seeing this?
40,R00248,3.3731569878208254,4.0,connectivity,2,2026-09-13,3.3.2,"Since 3.3.0, the app loses connection to the kitchen plug and never reconnects on its own. This started after the update."
41,R01035,3.3724693604856357,4.0,connectivity,1,2026-08-15,3.3.0,"Sync fails repeatedly with the smart lock. Spinning loader, then 'connection timeout'. Considering switching apps."
42,R00288,3.3472779461467366,4.0,connectivity,2,2026-09-12,3.3.0,App disconnects from the security camera whenever my phone switches between Wi-Fi and data.
43,R00802,3.346595594325414,4.0,connectivity,1,2026-08-14,3.3.2,"Sync fails repeatedly with the thermostat. Spinning loader, then 'connection timeout'. Really disappointing."
44,R00928,3.327657374492443,5.0,crash,2,2026-08-20,3.4.1,Opening the smart lock tab makes the app freeze then crash. Please fix this. Anyone else seeing this?
45,R00308,3.2761253260396273,5.0,crash,1,2026-07-20,3.3.0,"Crash report sent three times this week, all from the video doorbell screen. Considering switching apps."
46,R00094,3.2708260121973924,4.0,connectivity,2,2026-09-09,3.3.0,Intermittent connectivity: security camera responds maybe one time out of three. Reinstalling didn't help.
47,R00843,3.2509907164889196,5.0,crash,1,2026-07-19,3.3.0,Every time I adjust the thermostat settings the app force quits. So frustrating. Otherwise I like the app.
48,R00978,3.2208306284924664,4.0,connectivity,2,2026-09-07,3.3.0,Great app otherwise -- however my smoke detector keeps showing offline since 3.2.1.
49,R00495,3.220174053304841,4.0,connectivity,1,2026-08-09,3.3.2,"Sync fails repeatedly with the smart plug. Spinning loader, then 'connection timeout'."
50,R01293,3.201951246753216,5.0,crash,2,2026-08-15,3.4.1,Background crash loop drained my patience -- smart plug alerts kill the app. Considering switching apps.
51,R00891,3.1773857047246903,5.0,crash,2,2026-08-14,3.3.2,The app won't stay open for more than a few seconds if the bedroom speaker is online. This started after the update.
52,R00234,3.170952897305943,4.0,connectivity,1,2026-08-07,3.4.0,Connection keeps dropping -- the video doorbell goes 'unreachable' every few hours. Really disappointing.
53,R00058,3.075383083233542,4.0,connectivity,2,2026-09-01,3.2.1,Intermittent connectivity: bedroom speaker responds maybe one time out of three.
54,R00983,3.0573562640927987,5.0,crash,2,2026-08-09,3.4.1,kitchen plug screen just force-closes the app. Completely unusable since 3.4.0.
55,R00549,2.98125,4.5,login_auth,1,2026-09-20,3.2.0,"Really like the design, but logging in has been broken for me since 3.3.2. Anyone else seeing this?"
56,R00372,2.9586036677956704,4.0,connectivity,1,2026-07-29,3.2.0,App disconnects from the living room bulb whenever my phone switches between Wi-Fi and data.
57,R01215,2.896303462006122,5.0,crash,1,2026-07-04,3.4.0,Opening the bedroom speaker tab makes the app freeze then crash. Please fix this.
58,R01185,2.874082866206788,5.0,crash,1,2026-07-03,3.3.2,"I love this app overall, but it crashes every time I open the garage sensor controls. Honestly pretty annoyed."
59,R00578,2.869433878271082,4.0,connectivity,2,2026-08-23,3.2.0,Had to factory reset the bedroom speaker three times this month because the app loses it. Otherwise I like the app.
60,R00386,2.8526142612803014,5.0,crash,2,2026-07-31,3.3.2,App keeps crashing every time I open the living room bulb controls on version 3.3.0. Support was no help.
61,R01046,2.852032748012496,5.0,crash,1,2026-07-02,3.2.0,Every time I adjust the living room bulb settings the app force quits. So frustrating. Hope this gets fixed soon.
62,R00001,2.847419427362055,4.0,connectivity,2,2026-08-22,3.4.0,"My smoke detector shows offline in the app constantly, but my Wi-Fi is fine. Honestly pretty annoyed."
63,R00378,2.8255738725033948,4.0,connectivity,2,2026-08-21,3.2.1,App can't find the smart lock half the time. Re-pairing works for a day then it drops again. This started after the update.
64,R00886,2.803110218244371,4.5,login_auth,1,2026-09-12,3.2.1,"Really like the design, but logging in has been broken for me since 3.2.1. Reinstalling didn't help."
65,R00508,2.7660749150571315,5.0,crash,2,2026-07-27,3.2.0,Opening the video doorbell tab makes the app freeze then crash. Please fix this.
66,R00228,2.744853439668089,5.0,crash,2,2026-07-26,3.3.0,Instant crash when switching between the living room bulb and the dashboard.
67,R01142,2.7390870923773813,4.5,login_auth,1,2026-09-09,3.2.0,"Great app when you're in, but I get logged out daily and can't reach my kitchen plug. Really disappointing."
68,R01060,2.7373932991562597,5.0,crash,3,2026-09-01,3.3.2,Crash after crash. The app dies the moment I tap my smoke detector.
69,R00866,2.702346683553984,5.0,crash,1,2026-06-25,3.3.0,Tapping notifications for the garage sensor crashes the app every single time.
70,R01299,2.6767307052827096,4.0,connectivity,1,2026-07-16,3.3.2,Intermittent connectivity: smart lock responds maybe one time out of three. Really disappointing.
71,R00552,2.656736266471642,4.0,connectivity,2,2026-08-13,3.3.0,Had to factory reset the smart lock three times this month because the app loses it. Hope this gets fixed soon.
72,R00383,2.656194683472152,4.0,connectivity,1,2026-07-15,3.4.0,The video doorbell works in the old app but this version 3.2.0 can't maintain a connection. Reinstalling didn't help.
73,R00600,2.656194683472152,4.0,connectivity,1,2026-07-15,3.2.0,The living room bulb pairs fine in Bluetooth settings but the app says device not found.
74,R00954,2.6559918034558865,4.5,login_auth,1,2026-09-05,3.4.0,"Login screen loops forever: enter password, spinner, back to login. Really disappointing."
75,R01284,2.6543493945947128,5.0,crash,3,2026-08-28,3.2.0,Crash after crash. The app dies the moment I tap my smart lock. Otherwise I like the app.
76,R00273,2.609017115719437,4.0,connectivity,3,2026-09-17,3.2.1,The video doorbell pairs fine in Bluetooth settings but the app says device not found. Really disappointing.
77,R00540,2.6002623944674825,5.0,crash,1,2026-06-20,3.3.0,Crashes constantly since the 3.3.0 update. My kitchen plug is basically bricked in the app. Reinstalling didn't help.
78,R00740,2.5563749639401694,4.0,connectivity,2,2026-08-08,3.3.0,"My bedroom speaker shows offline in the app constantly, but my Wi-Fi is fine. Reinstalling didn't help."
79,R01115,2.5563749639401694,4.0,connectivity,2,2026-08-08,3.4.1,Had to factory reset the video doorbell three times this month because the app loses it. Really disappointing.
80,R00055,2.5556586238807233,4.5,login_auth,1,2026-08-31,3.3.2,"Really like the design, but logging in has been broken for me since 3.3.0. Reinstalling didn't help."
81,R00356,2.541390388723471,5.0,crash,2,2026-07-16,3.2.0,Every time I adjust the bedroom speaker settings the app force quits. So frustrating. Reinstalling didn't help.
82,R01190,2.4828387153212708,5.0,crash,1,2026-06-14,3.3.0,The app crashes on my security camera screen. Support was great though and sent a workaround.
83,R00137,2.4593034883388083,4.0,connectivity,1,2026-07-05,3.2.0,Connection keeps dropping -- the smart lock goes 'unreachable' every few hours. Reinstalling didn't help.
84,R01077,2.440249179473758,4.5,login_auth,1,2026-08-25,3.2.0,Can't stay signed in on two phones -- the second login kicks out the first. Hope this gets fixed soon.
85,R00135,2.426130600690657,5.0,crash,1,2026-06-11,3.2.0,Every time I adjust the smart plug settings the app force quits. So frustrating. Reinstalling didn't help.
86,R01292,2.4075171963490414,5.0,crash,1,2026-06-10,3.2.1,Instant crash when switching between the video doorbell and the dashboard. Otherwise I like the app.
87,R00361,2.3895337080683587,5.0,crash,2,2026-07-08,3.2.0,Crashes constantly since the 3.2.1 update. My garage sensor is basically bricked in the app.
88,R01166,2.3890465950457638,5.0,crash,1,2026-06-09,3.2.0,Instant crash when switching between the bedroom speaker and the dashboard. Anyone else seeing this?
89,R00528,2.384695954143252,4.0,connectivity,1,2026-07-01,3.3.2,Great app otherwise -- however my smart lock keeps showing offline since 3.3.0. Reinstalling didn't help.
90,R00526,2.378699577434706,4.0,connectivity,3,2026-09-05,3.4.1,"Sync fails repeatedly with the thermostat. Spinning loader, then 'connection timeout'. Anyone else seeing this?"
91,R00437,2.3712010770535503,5.0,crash,2,2026-07-07,3.2.0,"Crash report sent three times this week, all from the living room bulb screen. Anyone else seeing this?"
92,R00101,2.364756473141015,5.0,crash,3,2026-08-13,3.2.1,App crashes when I try to view the living room bulb live feed. Was fine before 3.3.0. Otherwise I like the app.
93,R01015,2.3466139344040253,5.0,crash,3,2026-08-12,3.2.1,The latest update crashes on launch whenever my living room bulb is connected. Honestly pretty annoyed.
94,R00660,2.3286105861991517,5.0,crash,3,2026-08-11,3.3.0,Crashes constantly since the 3.2.0 update. My smart lock is basically bricked in the app. Honestly pretty annoyed.
95,R00141,2.2816261984099966,5.0,crash,2,2026-07-02,3.3.0,The app won't stay open for more than a few seconds if the smoke detector is online. Honestly pretty annoyed.
96,R00559,2.281161082630216,5.0,crash,1,2026-06-03,3.4.1,Tapping notifications for the kitchen plug crashes the app every single time.
97,R00136,2.2636598922213955,5.0,crash,1,2026-06-02,3.3.0,Opening the smart lock tab makes the app freeze then crash. Please fix this. Hope this gets fixed soon.
98,R00561,2.259537590322012,4.0,connectivity,1,2026-06-24,3.3.2,Had to factory reset the smart lock three times this month because the app loses it. Hope this gets fixed soon.
99,R00738,2.246750978256025,5.0,crash,2,2026-06-30,3.3.0,"Crash report sent three times this week, all from the bedroom speaker screen. Support was no help."
100,R00534,2.2426594688128745,4.0,connectivity,2,2026-07-22,3.4.1,"Love the new dashboard design, but my video doorbell won't stay connected since 3.2.0. Anyone else seeing this?"
101,R00419,2.242202296508162,4.0,connectivity,1,2026-06-23,3.4.0,'Device offline' error all day for my thermostat even though it's two feet from the router. This started after the update.
102,R00837,2.2365642236111665,4.0,connectivity,3,2026-08-28,3.3.2,Had to factory reset the security camera three times this month because the app loses it. Reinstalling didn't help.
103,R00024,2.2290592914963723,5.0,crash,1,2026-05-31,3.3.2,Every time I adjust the bedroom speaker settings the app force quits. So frustrating. This started after the update.
104,R00647,2.2248300546119615,4.5,login_auth,1,2026-08-13,3.2.1,"'Account not found' error on login, but the website works fine with the same email."
105,R00814,2.216931678385196,3.0,performance,1,2026-09-17,3.4.1,Search in the living room bulb history times out on anything older than a week. This started after the update.
106,R00265,2.206395806390791,5.0,crash,3,2026-08-04,3.3.2,Crashes constantly since the 3.2.0 update. My bedroom speaker is basically bricked in the app. Hope this gets fixed soon.
107,R00670,2.1909903252791096,4.0,connectivity,1,2026-06-20,3.3.2,App can't find the smart lock half the time. Re-pairing works for a day then it drops again. This started after the update.
108,R01238,2.1909903252791096,4.0,connectivity,1,2026-06-20,3.2.1,App can't find the living room bulb half the time. Re-pairing works for a day then it drops again. This started after the update.
109,R00568,2.189468219198945,5.0,crash,3,2026-08-03,3.3.0,Rotated my phone while on the thermostat page and the app crashed instantly. Support was no help.
110,R00339,2.178147506916658,5.0,crash,1,2026-05-28,3.3.2,It crashed twice this week on the smart lock page. Still better than the competitor's app. Hope this gets fixed soon.
111,R00502,2.161877346843187,5.0,crash,2,2026-06-25,3.3.0,The latest update crashes on launch whenever my video doorbell is connected. Considering switching apps.
112,R00804,2.157335707059564,4.5,login_auth,1,2026-08-09,3.4.0,Can't stay signed in on two phones -- the second login kicks out the first.
113,R00069,2.1448539841281846,5.0,crash,1,2026-05-26,3.4.0,Opening the living room bulb tab makes the app freeze then crash. Please fix this. Hope this gets fixed soon.
114,R00543,2.1448539841281846,5.0,crash,1,2026-05-26,3.4.0,Opening the kitchen plug tab makes the app freeze then crash. Please fix this. Considering switching apps.
115,R00192,2.140948037089473,4.0,connectivity,1,2026-06-17,3.4.1,"Since 3.3.0, the app loses connection to the security camera and never reconnects on its own. Considering switching apps."
116,R00980,2.13318450570798,3.0,performance,1,2026-09-12,3.2.0,Scrolling the thermostat event history stutters and freezes the whole app. Reinstalling didn't help.
117,R00990,2.1125,5.0,crash,2,2026-06-22,3.4.1,smoke detector screen just force-closes the app. Completely unusable since 3.3.2.
118,R00111,2.1086529720995757,4.0,connectivity,2,2026-07-14,3.2.0,Intermittent connectivity: living room bulb responds maybe one time out of three. Support was no help.
119,R00149,2.1086529720995757,4.0,connectivity,2,2026-07-14,3.3.0,App disconnects from the smart plug whenever my phone switches between Wi-Fi and data. Otherwise I like the app.
120,R01028,2.1067585106354003,5.0,crash,3,2026-07-29,3.4.0,Instant crash when switching between the bedroom speaker and the dashboard. Support was no help.
121,R01119,2.09204871634171,4.0,connectivity,1,2026-06-14,3.3.2,The kitchen plug pairs fine in Bluetooth settings but the app says device not found.
122,R01162,2.084462504262032,3.0,performance,1,2026-09-09,3.2.1,Switching rooms with the video doorbell takes ages -- the UI just hangs. Support was no help.
123,R00873,2.0759984061693966,4.0,connectivity,1,2026-06-13,3.4.0,"Since 3.2.0, the app loses connection to the thermostat and never reconnects on its own."
124,R01240,2.0642504333173446,5.0,crash,2,2026-06-19,3.3.0,The latest update crashes on launch whenever my bedroom speaker is connected. Reinstalling didn't help.
125,R00646,2.0479958183586024,5.0,crash,1,2026-05-20,3.2.1,"I love this app overall, but it crashes every time I open the kitchen plug controls. Hope this gets fixed soon."
126,R00844,2.04426625762337,4.0,connectivity,1,2026-06-11,3.3.2,The living room bulb pairs fine in Bluetooth settings but the app says device not found.
127,R00881,2.0322834843868884,5.0,crash,1,2026-05-19,3.4.1,App keeps crashing every time I open the living room bulb controls on version 3.2.1. Honestly pretty annoyed.
128,R00009,2.028996153491896,4.0,connectivity,2,2026-07-09,3.2.1,The bedroom speaker pairs fine in Bluetooth settings but the app says device not found. Support was no help.
129,R00174,2.0285825370420327,4.0,connectivity,1,2026-06-10,3.3.2,'Device offline' error all day for my kitchen plug even though it's two feet from the router. Hope this gets fixed soon.
130,R00525,2.023481616291382,4.0,connectivity,3,2026-08-15,3.3.0,"My smart lock shows offline in the app constantly, but my Wi-Fi is fine. Honestly pretty annoyed."
131,R00255,2.021226466780895,3.0,performance,1,2026-09-05,3.2.0,App takes forever to load the bedroom speaker dashboard -- 20+ seconds of spinner. Reinstalling didn't help.
132,R01012,2.0116206753470256,5.0,crash,3,2026-07-23,3.2.1,Background crash loop drained my patience -- bedroom speaker alerts kill the app. Considering switching apps.
133,R00411,1.997982445990684,4.0,connectivity,2,2026-07-07,3.4.0,The security camera works in the old app but this version 3.4.0 can't maintain a connection. Support was no help.
134,R00787,1.997422577080872,4.5,login_auth,1,2026-07-30,3.3.0,App says my session expired in the middle of smart lock setup and lost my progress. Support was no help.
135,R00830,1.997422577080872,4.5,login_auth,1,2026-07-30,3.4.0,"Really like the design, but logging in has been broken for me since 3.4.1. Reinstalling didn't help."
136,R00842,1.9820982437338974,4.5,login_auth,1,2026-07-29,3.4.0,Can't stay signed in on two phones -- the second login kicks out the first. Otherwise I like the app.
137,R00090,1.9710321946215055,5.0,crash,2,2026-06-13,3.4.0,Tapping notifications for the smart lock crashes the app every single time.
138,R01027,1.9665449666524093,3.0,battery_drain,1,2026-09-15,3.4.1,Phone battery dropped 15% during a 20-minute smart lock live view. Fix the power usage. Support was no help.
139,R00291,1.9665449666524093,3.0,battery_drain,1,2026-09-15,3.4.0,Background battery drain is ridiculous. Turned off living room bulb notifications and it still drains. This started after the update.
140,R01064,1.9559103297069007,5.0,crash,2,2026-06-12,3.2.0,Background crash loop drained my patience -- thermostat alerts kill the app.
141,R00140,1.9559103297069007,5.0,crash,2,2026-06-12,3.4.1,The app is great when it works -- sadly the smoke detector screen crashes on launch. Support was no help.
142,R00890,1.9519504722490435,4.0,connectivity,1,2026-06-05,3.3.2,'Device offline' error all day for my video doorbell even though it's two feet from the router.
143,R00258,1.9518013823701952,4.5,login_auth,1,2026-07-27,3.2.0,"Great app when you're in, but I get logged out daily and can't reach my smart lock."
144,R00493,1.9514575279919142,3.0,battery_drain,1,2026-09-14,3.4.0,Phone battery dropped 15% during a 20-minute video doorbell live view. Fix the power usage.
145,R01203,1.944872286097909,3.0,performance,1,2026-08-31,3.2.0,Scrolling the thermostat event history stutters and freezes the whole app.
146,R00332,1.944872286097909,3.0,performance,1,2026-08-31,3.3.0,Every tap has a delay on 3.2.1. The video doorbell controls feel like they're on dial-up. This started after the update.
147,R00073,1.9409044805525255,5.0,crash,4,2026-09-09,3.3.0,The app won't stay open for more than a few seconds if the security camera is online. Honestly pretty annoyed.
148,R00514,1.9364858409715766,3.0,battery_drain,1,2026-09-13,3.3.2,"Five stars for features, one star for the battery drain -- the garage sensor sync never sleeps."
149,R01109,1.9321044319829048,4.0,connectivity,3,2026-08-09,3.4.0,Connection keeps dropping -- the garage sensor goes 'unreachable' every few hours. This started after the update.
150,R00194,1.9256211338742943,5.0,crash,1,2026-05-12,3.2.1,"I love this app overall, but it crashes every time I open the bedroom speaker controls. Support was no help."
151,R00088,1.9151444326939246,3.0,performance,1,2026-08-29,3.3.2,"Best smart home app I've used, if only the bedroom speaker page didn't lag so badly."
152,R00370,1.9025717383835659,4.0,connectivity,3,2026-08-07,3.2.0,"My smart plug shows offline in the app constantly, but my Wi-Fi is fine. Reinstalling didn't help."
153,R00008,1.8858709768739494,3.0,performance,1,2026-08-27,3.2.1,"Love the automations, but the garage sensor live view buffers constantly. Really disappointing."
154,R00664,1.8820235420714666,5.0,crash,4,2026-09-05,3.4.1,Crash after crash. The app dies the moment I tap my smart plug. Support was no help.
155,R00226,1.864041152375841,4.5,login_auth,2,2026-08-19,3.2.0,"Login screen loops forever: enter password, spinner, back to login. Otherwise I like the app."
156,R00819,1.8532563472476873,5.0,crash,2,2026-06-05,3.3.2,"Crash report sent three times this week, all from the smart plug screen. Really disappointing."
157,R00612,1.8495043189177027,4.0,connectivity,1,2026-05-29,3.3.0,"Setup was a breeze and I love the widgets, but the garage sensor drops offline every night."
158,R00244,1.8490372463431122,3.0,battery_drain,1,2026-09-07,3.2.1,This app eats my phone battery alive -- lost 40% overnight with the smart lock idle.
159,R01107,1.839038064963062,5.0,crash,2,2026-06-04,3.3.2,The latest update crashes on launch whenever my video doorbell is connected. Considering switching apps.
160,R01013,1.8386631719923257,5.0,crash,1,2026-05-06,3.2.0,"I love this app overall, but it crashes every time I open the kitchen plug controls."
161,R00641,1.8356890326573316,4.0,connectivity,2,2026-06-26,3.4.1,Intermittent connectivity: smart plug responds maybe one time out of three. Reinstalling didn't help.
162,R01084,1.828659581833572,3.0,performance,1,2026-08-23,3.4.1,App startup is so slow now that the thermostat alerts arrive before the app opens.
163,R00113,1.824556849332454,5.0,crash,1,2026-05-05,3.4.0,App keeps crashing every time I open the garage sensor controls on version 3.2.0.
164,R00298,1.8212341884542094,4.0,connectivity,1,2026-05-27,3.4.1,App disconnects from the video doorbell whenever my phone switches between Wi-Fi and data. Reinstalling didn't help.
165,R00214,1.8166546502327932,4.0,connectivity,3,2026-08-01,3.4.1,Intermittent connectivity: thermostat responds maybe one time out of three.
166,R00724,1.7970343775086826,5.0,crash,2,2026-06-01,3.4.0,garage sensor screen just force-closes the app. Completely unusable since 3.3.0. Considering switching apps.
167,R00595,1.7937618372065296,4.0,connectivity,2,2026-06-23,3.3.0,The thermostat works in the old app but this version 3.2.1 can't maintain a connection. Honestly pretty annoyed.
168,R00630,1.7937618372065296,4.0,connectivity,2,2026-06-23,3.3.2,"Setup was a breeze and I love the widgets, but the garage sensor drops offline every night. Considering switching apps."
169,R00841,1.7933961739194264,4.0,connectivity,1,2026-05-25,3.2.1,"My smoke detector shows offline in the app constantly, but my Wi-Fi is fine."
170,R01276,1.7929432708579705,3.0,battery_drain,1,2026-09-03,3.4.0,The widget alone drains my battery keeping the smart plug status updated. Considering switching apps.
171,R01250,1.7929432708579705,3.0,battery_drain,1,2026-09-03,3.3.2,Battery saver mode does nothing -- the living room bulb stream keeps running in the background. Anyone else seeing this?
172,R00482,1.783247433197098,5.0,crash,2,2026-05-31,3.4.1,"I love this app overall, but it crashes every time I open the bedroom speaker controls. Really disappointing."
173,R00937,1.7795012135059218,4.5,login_auth,1,2026-07-15,3.3.2,"Really like the design, but logging in has been broken for me since 3.4.1. Considering switching apps."
174,R00564,1.7692055321104156,5.0,crash,1,2026-05-01,3.3.2,App force closes during smart plug setup on the very last step. Unacceptable. Really disappointing.
175,R00729,1.761543060881814,4.0,connectivity,3,2026-07-28,3.3.0,Had to factory reset the smart plug three times this month because the app loses it. Really disappointing.
176,R01269,1.7595798392051427,3.0,performance,1,2026-08-18,3.3.2,Search in the thermostat history times out on anything older than a week. Reinstalling didn't help.
177,R01223,1.7523010978040041,4.5,login_auth,1,2026-07-13,3.4.1,Biometric login crashes back to the password field on 3.4.0. Anyone else seeing this?
178,R01243,1.737782077203673,5.0,crash,3,2026-07-04,3.4.0,The app crashes on my video doorbell screen. Support was great though and sent a workaround. Otherwise I like the app.
179,R00544,1.7256485475400298,4.0,connectivity,1,2026-05-20,3.3.0,App can't find the kitchen plug half the time. Re-pairing works for a day then it drops again.
180,R00363,1.7256485475400298,4.0,connectivity,1,2026-05-20,3.2.0,Great app otherwise -- however my bedroom speaker keeps showing offline since 3.3.2. This started after the update.
181,R00267,1.7193909801352327,3.0,performance,1,2026-08-15,3.3.0,"Best smart home app I've used, if only the security camera page didn't lag so badly."
182,R01267,1.7158831873025475,5.0,crash,2,2026-05-26,3.4.1,The app won't stay open for more than a few seconds if the bedroom speaker is online. Anyone else seeing this?
183,R01051,1.7155333997925553,5.0,crash,1,2026-04-27,3.4.1,App force closes during smart plug setup on the very last step. Unacceptable. Considering switching apps.
184,R00831,1.7065476045663839,3.0,performance,2,2026-09-12,3.4.1,Every tap has a delay on 3.3.2. The bedroom speaker controls feel like they're on dial-up. Considering switching apps.
185,R00338,1.7061997201406254,3.0,performance,1,2026-08-14,3.4.1,"Love the automations, but the garage sensor live view buffers constantly."
186,R00861,1.7027188392830508,5.0,crash,2,2026-05-25,3.2.1,"Crash report sent three times this week, all from the smart lock screen. Considering switching apps."
187,R00236,1.7023717353616319,5.0,crash,1,2026-04-26,3.2.0,App force closes during garage sensor setup on the very last step. Unacceptable. Reinstalling didn't help.
188,R00392,1.698842450241823,3.0,battery_drain,1,2026-08-27,3.2.1,"Five stars for features, one star for the battery drain -- the smart lock sync never sleeps. Support was no help."
189,R00805,1.6980910797059394,5.0,crash,3,2026-07-01,3.3.2,The app is great when it works -- sadly the video doorbell screen crashes on launch. Anyone else seeing this?
190,R00511,1.6896554888489725,5.0,crash,2,2026-05-24,3.4.0,App keeps crashing every time I open the kitchen plug controls on version 3.3.2. This started after the update.
191,R01286,1.6896554888489725,5.0,crash,2,2026-05-24,3.2.1,Crash after crash. The app dies the moment I tap my bedroom speaker. Honestly pretty annoyed.
